57x68,82x19,23x70,0x63,,
55x83,26x2,91x89,40x62,,
30x54,42x8,68x13,56x38,,
13x56,54x59,15x24,30x44,,
17x88,29x95,27x89,73x80,,
9x12,16x93,1x34,56x41,,
85x32,38x27,15x79,75x52,,
72x56,56x55,75x31,52x3,,
93x50,26x68,1x37,58x5,,
18x9,96x40,58x15,63x91,,
45x73,63x62,43x96,84x75,,
70x74,35x34,19x46,62x0,,
51x93,22x8,70x33,99x11,,
18x16,71x89,20x61,34x5,,
30x51,16x94,41x39,65x83,,
46x18,85x16,57x21,8x71,,
3x36,62x77,83x83,3x69,,
2x26,48x51,96x82,36x20,,
81x39,67x60,56x65,41x35,,
98x57,30x55,47x86,45x54,,
12x9,23x36,15x51,29x88,,
81x82,89x54,30x40,66x39,,
43x94,54x60,22x96,17x97,,
1x54,95x44,23x50,33x32,,
1x82,99x61,95x80,91x25,,
45x24,12x71,21x67,18x92,,
42x36,76x61,53x51,90x69,,
77x72,34x50,70x14,38x69,,
47x49,12x10,70x52,81x12,,
1x43,88x26,91x44,72x18,,
74x22,60x46,9x72,30x82,,
74x98,24x51,6x96,31x91,,
94x42,2x7,58x66,41x44,,
60x45,78x70,90x42,40x33,,
71x84,33x64,15x4,68x10,,
81x39,68x14,84x70,80x94,,
19x2,27x66,93x47,83x22,,
50x55,88x72,9x23,87x32,,
3x80,81x24,42x15,25x44,,
93x79,1x28,35x84,62x87,,
65x63,94x70,22x74,48x64,,
17x39,69x44,51x60,69x99,,
65x73,45x88,11x53,28x30,,
24x24,94x31,34x61,96x14,,
30x49,17x43,68x43,73x74,,
40x79,17x61,92x38,26x39,,
7x70,72x53,55x87,54x13,,
26x70,55x76,42x12,83x59,,
91x0,22x41,45x83,78x11,,
24x26,50x42,8x77,75x41,,
11x72,76x63,70x37,1x8,,
15x92,38x64,87x42,81x34,,
87x45,86x7,60x48,75x22,,
99x0,92x42,20x37,42x0,,
8x14,51x44,89x41,20x84,,
59x0,12x25,72x44,79x47,,
55x96,22x52,84x77,2x8,,
37x85,34x83,14x92,10x38,,
65x35,37x2,55x2,97x37,,
93x27,58x95,28x4,7x62,,
25x41,59x61,22x93,30x35,,
77x13,61x65,50x32,5x40,,
44x9,15x62,21x70,88x99,,
27x22,15x89,52x24,14x98,,
31x12,11x55,5x76,26x30,,
77x56,46x49,29x53,28x91,,
63x17,71x29,27x55,56x83,,
64x13,35x78,59x95,61x21,,
83x42,68x4,10x4,8x18,,
49x57,15x46,46x27,35x94,,
5x95,25x44,88x49,84x98,,
63x36,65x34,77x27,47x12,,
55x25,75x89,55x21,20x7,,
13x63,67x54,43x50,49x98,,
54x10,28x8,43x33,50x96,,
55x73,26x0,52x49,7x4,,
17x27,78x61,83x92,94x6,,
18x44,38x6,52x35,36x50,,
57x26,9x93,69x98,37x46,,
66x43,74x51,28x36,78x53,,
86x89,69x18,44x39,77x13,,
33x24,40x99,80x32,27x79,,
37x43,74x61,30x49,1x34,,
73x41,2x27,1x13,11x29,,
60x38,75x18,82x99,6x36,,
83x56,53x76,61x49,16x26,,
25x60,53x33,10x91,37x4,,
88x25,5x86,6x44,20x34,,
38x56,12x7,82x87,24x68,85x6,
90x95,67x47,47x58,10x83,,
51x39,96x31,84x78,61x92,43x44,94x43
50x32,21x19,8x53,46x84,51x38,83x9
96x3,28x23,48x47,48x71,66x88,0x84
74x6,55x31,46x25,55x75,,
99x36,2x81,59x16,46x28,,
98x55,85x58,0x36,37x37,,
12x3,57x16,58x53,7x58,,
32x43,29x2,5x38,36x18,,
68x81,5x50,70x96,87x78,48x87,
0x53,46x1,20x85,60x82,,
